"","test_stat","tt_pval","mw_stat","mw_pval","x.obs","y.obs","XY_norm_test","arith_fold_exp.xy","geom_fold_exp.xy"
"mmu.miR.148b.000471",-0.475385596836123,0.654384069515133,13,1,12,11,0.0300377031339815,0.776117853350715,1.05354878250282
"mmu.miR.151.3p.001190",-0.378779458078259,0.718007817489149,13,1,13,13,0.0240023285497662,0.89036841632749,0.93956121576168
"mmu.miR.152.000475",-0.999143474294344,0.367150735758711,9,0.547619047619048,15,15,0.00130922528992121,0.745502789898167,0.810733385432587
"mmu.miR.155.002571",0.805883577609513,0.452488382621556,18,0.30952380952381,15,13,0.837288392843248,1.20611696161355,1.09983620734235
"mmu.miR.15b.000390",0.194330250876423,0.851328134797232,12,1,15,15,0.56923322972204,1.03401160854824,1.01855587515414
"mmu.miR.16.000391",-0.39146625462387,0.706006639787346,11,0.841269841269841,15,15,0.462758095862703,0.936431165749565,0.944221964615611
"mmu.miR.17.002308",0.518807980161411,0.617944555558307,14,0.841269841269841,15,15,0.470809835119173,1.08150457015341,1.08718003282308
"mmu.miR.181a.000480",-0.100262590153022,0.922615841215628,12,1,15,15,0.0944561006373712,0.970982061104176,0.986578678439682
"mmu.miR.181c.000482",0.896919375845985,0.414600352713359,15,0.69047619047619,15,15,0.0199724986287662,1.56888977955692,1.14969638942498
"mmu.miR.182.002599",-1.29457035605731,0.231911092758052,4,0.0952380952380952,15,15,0.262321534833644,0.811207901225461,0.801276481323417
"mmu.miR.183.002269",0.925125346322544,0.384983131998696,16,0.547619047619048,14,15,0.0711246746579161,1.24461575136737,1.21347982418452
"mmu.miR.186.002285",0.324619735962132,0.753811325865781,15,0.69047619047619,15,15,0.273237223958398,1.06952345854166,1.07425914679422
"mmu.miR.188.5p.002320",-0.532165789193372,0.610074634518055,9,0.547619047619048,13,13,0.181726568837474,0.830972453895081,0.888969403905379
"mmu.miR.18a.002422",1.27572074616544,0.255403045124254,20,0.150793650793651,15,15,0.127560053596546,1.27763748306794,1.23205070303003
"mmu.miR.191.002299",1.42426932869632,0.207200594560751,18,0.30952380952381,15,15,0.0148955457368404,1.45058332399469,1.42254538646472
"mmu.miR.192.000491",-0.371810935463698,0.719759274418504,13,1,15,15,0.152988186539821,0.930333932235172,0.923235773983745
"mmu.miR.193b.002467",-1.64221943194624,0.148543507186028,5,0.150793650793651,15,15,0.268071565792585,0.790449724716537,0.769989835816617
"mmu.miR.194.000493",-0.6688885231521,0.522917497647343,9,0.547619047619048,15,15,0.49775973737832,0.914967473839629,0.908433574811846
"mmu.miR.195.000494",-2.60359950176331,0.0326160371967666,4,0.0952380952380952,15,15,0.669053940793915,0.804400353163244,0.804314499212701
"mmu.miR.196b.002215",1.28728017495887,0.234284990975885,16,0.547619047619048,15,15,0.92787835989657,1.26020013691664,1.29378729158373
"mmu.miR.19a.000395",1.51328494983955,0.197429928283375,16,0.547619047619048,15,15,0.00460037575031165,1.40448291228147,1.32004596873397
"mmu.miR.19b.000396",-1.38548156234667,0.205678189849422,7,0.30952380952381,15,15,0.93353564240529,0.898532279774278,0.89423621537728
"mmu.miR.200a.000502",0.00719577999937741,0.994435324683588,12,1,15,15,0.480028380934769,1.00069257355141,0.999279722041969
"mmu.miR.200b.002251",-1.52105473918396,0.169520539267167,4,0.0952380952380952,15,15,0.411114811940909,0.765741819755207,0.74572058586529
"mmu.miR.200c.002300",0.0728215159219806,0.944249687089905,10,0.69047619047619,15,15,0.397749385600751,1.0188409423948,0.966075288887707
"mmu.miR.203.000507",-2.47251651877259,0.0386036149830135,2,0.0317460317460317,15,15,0.978293857906778,0.862309966097994,0.861442422524158
"mmu.miR.205.000509",-0.0957158391820379,0.926155419816924,12,1,15,14,0.261937745344848,0.977219366164659,0.952762936606997
"mmu.miR.20a.000580",-1.87469999413229,0.125984414992769,5,0.150793650793651,15,15,0.637338628044874,0.832377740709834,0.815873167218768
"mmu.miR.20b.001014",2.06820638841919,0.0994193817720522,19,0.222222222222222,15,15,0.0157288158948228,1.68003759537377,1.5621391424698
"mmu.miR.21.000397",-0.108237996734702,0.917154689289463,15,0.69047619047619,15,15,0.14255800039038,0.969662836917196,1.01511945781928
"mmu.miR.215.001200",0.174559847236676,0.866443704833478,16,0.547619047619048,15,15,0.321138060778589,1.02303024122453,1.00616596505105
"mmu.miR.218.000521",-0.500100581186029,0.631612380610251,10,0.69047619047619,15,15,0.661164202970239,0.932117444913425,0.940977500157294
"mmu.miR.222.002276",1.42420820263551,0.21521079513672,17,0.420634920634921,15,15,0.254727353921453,1.22798395114251,1.1952328049224
"mmu.miR.224.002553",-2.61101506151732,0.045690850051427,2,0.0317460317460317,15,14,0.0943496058836387,0.541746411805454,0.552329609429038
"mmu.miR.23b.000400",-0.0323658318207547,0.974995245058335,13,1,15,15,0.384216485718773,0.989939267466552,0.996227329441536
"mmu.miR.24.000402",-0.321786658052891,0.756161875805292,11,0.841269841269841,15,15,0.274318845394409,0.971256698883696,0.973882777681204
"mmu.miR.25.000403",0.383477579902661,0.713583040742711,12,1,15,15,0.000642204805604605,1.15359613381001,1.09174959565606
"mmu.miR.26a.000405",-1.29749717774765,0.231963089721434,5,0.150793650793651,15,15,0.133357915231235,0.868830564826828,0.863231429245907
"mmu.miR.26b.000407",-1.40023700513281,0.221620820357399,7,0.30952380952381,15,15,0.400426357221014,0.802995177641916,0.835519790395342
"mmu.miR.27a.000408",0.200351868842524,0.846235277025173,14,0.841269841269841,12,14,0.547708035468843,1.04974944508235,1.07621096741897
"mmu.miR.27b.000409",-0.49305224305838,0.63880477764543,7,0.30952380952381,15,14,0.190579936270597,0.908965510797591,0.875600847108346
"mmu.miR.28.000411",-0.185552324651431,0.857488137507582,13,1,15,14,0.755845935479303,0.954682475879995,0.94551897903605
"mmu.miR.29a.002112",0.471949454711012,0.65437980424426,14,0.841269841269841,15,15,8.52104344731259e-06,2.05990750108068,1.16037754655799
"mmu.miR.29b.000413",-1.54098691027427,0.161892034304736,6,0.222222222222222,12,13,0.503560580091716,0.60888233557987,0.553854788013502
"mmu.miR.29c.000587",-0.254780554064706,0.805319897381137,10,0.69047619047619,15,15,0.239317012648641,0.975975020648087,0.975032882134373
"mmu.miR.301a.000528",1.41611278852782,0.195293654288944,20,0.150793650793651,15,15,0.305329414293416,1.26720310800002,1.26873897948999
"mmu.miR.301b.002600",0.883271597578594,0.410889750023084,16,0.547619047619048,15,15,0.0301443492887741,1.17148205809923,1.14670768287491
"mmu.miR.30a.000417",-1.14039408959626,0.292380327657872,8,0.420634920634921,15,15,0.845009648429426,0.90552553049059,0.899101352612347
"mmu.miR.30b.000602",-0.260699786962127,0.800974099491621,9,0.547619047619048,15,15,0.0115102310002033,0.943169715491755,0.929614179187798
"mmu.miR.30c.000419",-0.75367756558569,0.476230400293559,8,0.420634920634921,15,15,0.400715707953261,0.91540799672084,0.904630339799403
"mmu.miR.30d.000420",1.14283758867133,0.303997279561466,17,0.420634920634921,15,14,0.444923174433471,1.40366634990857,1.25494136451569
"mmu.miR.30e.002223",0.0891315826173511,0.931582287850384,12,1,15,15,0.910467949860907,1.01721421162078,0.980513289914761
"mmu.miR.31.000185",0.54145530066643,0.603210625825636,15,0.69047619047619,15,15,0.211022928550488,1.15063622898502,1.16938306440325
"mmu.miR.320.002277",0.446003624038353,0.675170449541764,9,0.547619047619048,15,15,0.000632019682297467,1.16238002924139,1.05456289440122
"mmu.miR.322.001076",-1.17206132065181,0.294626934407905,10,0.69047619047619,13,10,0.0170894330237983,0.532783557794945,0.632855395595268
"mmu.miR.324.5p.000539",-1.40167928075834,0.230760041455232,9,0.547619047619048,8,12,0.00622364381411428,0.534399918302004,0.663595421640743
"mmu.miR.328.000543",-0.589709975920457,0.577299457968747,9,0.547619047619048,15,15,0.995631578988178,0.910252277406658,0.878579721867752
"mmu.miR.331.3p.000545",1.84669321400596,0.108993641349467,21,0.0952380952380952,15,15,0.46832510729541,1.21131978645031,1.22933397783046
"mmu.miR.340.3p.002259",0.772113099369325,0.462247622182042,17,0.420634920634921,14,14,0.565111609121608,1.17829682055557,1.20339655333449
"mmu.miR.340.5p.002258",-0.267905870486153,0.795726007445543,10,0.69047619047619,13,13,0.664320548365825,0.908620004560495,0.922918504232579
"mmu.miR.342.3p.002260",0.692551571259682,0.524913027819146,11,0.841269841269841,15,15,2.55425910555279e-05,1.53194281832239,1.11349689739712
"mmu.miR.34b.3p.002618",1.10320117015654,0.32227015962699,17,0.420634920634921,10,12,0.00101499287622061,2.35846208189229,2.14711187653116
"mmu.miR.365.001020",0.510994869246549,0.623684554237671,17,0.420634920634921,15,15,0.54656013507608,1.16755057374604,1.21733168903561
"mmu.miR.375.000564",0.18115440534598,0.862229918900762,9,0.547619047619048,15,15,0.146997081129419,1.03006010572015,1.00759234594387
"mmu.miR.423.5p.002340",-0.612376517198865,0.573047211140326,17,0.420634920634921,13,11,1.03645342655549e-05,0.589349591015332,1.20417578649627
"mmu.miR.429.001077",0.293620970275969,0.777673120274849,15,0.69047619047619,13,14,0.909944638305767,1.06785101046038,1.00667571626705
"mmu.miR.484.001821",2.1986719225658,0.0868123416532277,19,0.222222222222222,15,15,0.0098910760129701,2.13801216216496,1.89816830653247
"mmu.miR.532.3p.002355",0.840054617710524,0.432028426277093,15,0.69047619047619,14,14,0.309356931595964,1.31605532972533,1.24215329025159
"mmu.miR.532.5p.001518",-1.29607991175551,0.236829785109759,6,0.222222222222222,15,15,0.705070996049039,0.713270074214069,0.746938353323564
"mmu.miR.574.3p.002349",1.41592352742073,0.209356932403557,19,0.222222222222222,15,15,0.0216619709103306,1.48778018521219,1.44192095988638
"mmu.miR.652.002352",0.436736313401006,0.67416152645688,14,0.841269841269841,14,14,0.193991883181505,1.1069900148372,1.09744325318239
"mmu.miR.671.3p.002322",1.86819942941301,0.109706004643067,20,0.150793650793651,14,11,0.274257247006619,2.03135415096305,2.09513377193393
"mmu.miR.744.002324",1.0660708695182,0.337138451624132,20,0.150793650793651,15,15,0.650545063910123,1.17988155169638,1.22637193574111
"mmu.miR.7b.002555",1.93706921375291,0.103409000735201,21,0.0952380952380952,15,15,0.110734260896494,1.69751045763218,1.66870892772395
"mmu.miR.872.002264",2.63802215080019,0.0443295264937851,21,0.0952380952380952,15,15,0.0927346740718687,2.89554405469766,197.413149719933
"mmu.miR.92a.000430",2.69351183817658,0.031866800898085,23,0.0317460317460317,15,15,0.246756264689866,1.38222806840121,1.37652402155854
"mmu.miR.93.001090",1.00817787355876,0.367023771041152,14,0.841269841269841,15,15,0.0187383336243088,1.27136833240455,1.16884192260718
"mmu.miR.99a.000435",0.290807128183246,0.779427550711265,13,1,14,13,0.439641733760751,1.12978074977548,0.995980640946137
"mmu.miR.99b.000436",-0.602365645107079,0.563954725811325,10,0.69047619047619,15,14,0.766838483493473,0.903644100897112,0.890610582989637
"rno.miR.190b.002048",1.85965243550211,0.115210423629319,22,0.0555555555555556,15,15,0.0459947564413217,1.63062819907119,1.6019245024742
"rno.miR.196c.002049",1.91474700463113,0.0940806869602162,21,0.0952380952380952,15,15,0.218669304021436,1.23380371120808,1.23567827071951
"rno.miR.224.000599",-0.124874580488116,0.903893019463308,11,0.841269841269841,15,14,0.163758590645891,0.963466100583438,0.948581562207101
"rno.miR.345.3p.002061",0.337242870519617,0.745005804872676,12,1,14,13,0.415008767380609,1.09976069840584,1.10559646642968
"snoRNA135.001230",1.19571989171663,0.27085734339694,18,0.30952380952381,15,15,0.569448671258554,1.2593954914602,1.24531531411466
"snoRNA202.001232",1.4970252286779,0.185924533214201,18,0.30952380952381,15,15,0.708848546912077,1.37474979466798,1.33384788370334
