"","test_stat","tt_pval","wc_stat","wc_pval","x.obs","y.obs","norm.test.pval","arith_fold_exp.xy","geom_fold_exp.xy"
"mmu.miR.19b.000396",0.385619016588019,0.704062373020233,113,0.784126281738281,20,20,0.478786095225244,1.04628238953747,1.04289767029869
"mmu.miR.200a.000502",2.64592100223465,0.015939758576705,167,0.0192337036132812,20,20,0.40226063813854,1.27426587158149,1.25327985946013
"mmu.miR.200b.002251",-2.997337198694,0.00740525153592214,36,0.00830841064453125,20,20,0.693389983378867,0.691877320361374,0.651850467061504
"mmu.miR.200c.002300",-0.212294152073385,0.834138457202423,74,0.261098861694336,20,20,0.00264685985038945,0.959207917952423,0.899716450638381
"mmu.miR.203.000507",-3.17277701147752,0.00501061631435947,33,0.00558090209960938,20,20,0.877702752444483,0.762902466509399,0.740475961730367
"mmu.miR.205.000509",1.42122124476955,0.173337180508132,113,0.246208190917969,18,20,0.0163615551004193,1.22625891159332,1.06768882939535
"mmu.miR.20a.000580",2.16553169665306,0.0432782129188773,154,0.069580078125,20,20,0.150586143073949,1.17546560709443,1.11850170596474
"mmu.miR.20b.001014",2.84492486333341,0.0103566121123303,172,0.0106887817382812,20,20,0.972939782708499,1.67679910820301,1.46270846993594
"mmu.miR.21.000397",-2.81197450673401,0.0111293755346472,39,0.0120792388916016,20,20,0.552876687665428,0.617614870877088,0.555576297739439
"mmu.miR.215.001200",-7.8288810868611,2.30717199251849e-07,2,5.7220458984375e-06,20,20,0.600431357734341,0.421130320444146,0.428594742140083
"mmu.miR.218.000521",3.64789152311772,0.00171133219442494,181,0.00315284729003906,20,20,0.289992010346343,1.44263288617114,1.45415873034324
"mmu.miR.222.002276",2.09127801204044,0.0501729472382742,151,0.0896949768066406,20,20,0.50188563006596,1.31752165682037,1.20216231992567
"mmu.miR.224.002553",0.408295347541199,0.688153530193349,98,0.609458923339844,19,19,0.499337086127457,0.992531886536256,0.881163820394104
"mmu.miR.23b.000400",0.358519038609419,0.724125366027758,93,0.952983856201172,19,20,0.0315990384682669,1.09473739093475,0.748869756765466
"mmu.miR.24.000402",-2.88964851907719,0.00938976500653835,35,0.00729560852050781,20,20,0.413921679802884,0.839425585415021,0.821059999434593
"mmu.miR.25.000403",2.23991862694193,0.0372483845486085,162,0.0327682495117188,20,20,0.000494418329633042,1.47320613146356,1.39976850902492
