"","test_stat","tt_pval","wc_stat","wc_pval","x.obs","y.obs","norm.test.pval","arith_fold_exp.xy","geom_fold_exp.xy"
"mmu.miR.128a.002216",-2.26639620331302,0.0577837472109521,5,0.078125,10,15,0.91902738252957,1.30061143986743,NaN
"mmu.miR.130a.000454",-0.231491645577381,0.820282092732246,56,0.846923828125,17,18,0.628060384824892,0.974055404903723,NaN
"mmu.miR.130b.000456",-0.632698392336777,0.534471797093229,88,0.545875549316406,20,20,0.0236330221409566,1.09579711713012,NaN
"mmu.miR.139.5p.002289",0.598005026707014,0.556898271033323,119,0.621513366699219,20,20,0.236264653018551,1.04099230297176,1.04973207919641
"mmu.miR.140.001187",-1.26290220625447,0.222739725355014,63,0.210117340087891,19,20,0.00197130269567909,1.36437225024525,NaN
"mmu.miR.141.000463",0.0845354444874914,0.933515106369693,88,0.545875549316406,20,20,0.00233789337413764,1.0137638547716,0
"mmu.miR.142.3p.000464",-0.860524725965094,0.406364840431725,37,0.587890625,14,18,0.893567066404953,1.1858932304237,NaN
"mmu.miR.145.002278",-3.6442577103648,0.00450491657467511,4,0.0068359375,12,19,0.498316576152957,1.44384953922789,NaN
"mmu.miR.146a.000468",1.13200575746833,0.271717062075509,131,0.348810195922852,20,20,0.817546987991068,1.52741300806113,2.24135535446701
"mmu.miR.146b.001097",2.085018313054,0.0507974348262411,156,0.058258056640625,20,20,0.33640642996847,0.679211144490998,NaN
"mmu.miR.148a.000470",0.627503659095924,0.537798204985397,125,0.474905014038086,20,20,0.96577249039715,1.11987143045079,0
"mmu.miR.148b.000471",0.705730243215563,0.506818084675671,19,0.46875,12,13,0.748191333692434,0.881294945779316,NaN
"mmu.miR.151.3p.001190",0.252679436823354,0.804188150203577,66,0.76153564453125,16,18,0.675557564801095,0.952874269904069,NaN
"mmu.miR.152.000475",-0.663681877087022,0.514867138442263,92,0.647655487060547,20,20,0.926797280260122,1.14397212658607,NaN
"mmu.miR.155.002571",2.83167627237778,0.0126257284474381,113,0.01824951171875,17,19,0.332929338556541,0.704908340955258,NaN
"mmu.miR.15b.000390",-1.7668154138927,0.0933196248469963,68,0.176853179931641,20,20,0.107878377694926,0.847142031235036,0.838227556764176
"mmu.miR.16.000391",0.933514439708319,0.362267075894002,116,0.701181411743164,20,20,0.0476109562462464,1.06168964859623,1.10853811197044
"mmu.miR.17.002308",4.83146463299357,0.000115965700796052,200,8.20159912109375e-05,20,20,0.650355801256307,1.19671000047882,1.20962772983844
"mmu.miR.181a.000480",0.76224925545268,0.455270483204556,146,0.132726669311523,20,20,0.00867352128586342,0.928609125445271,NaN
"mmu.miR.181c.000482",-0.805034510233806,0.43075924484241,94,0.701181411743164,20,20,0.100960193217117,1.06275934298244,NaN
"mmu.miR.182.002599",-2.29935235130869,0.0329963442444809,53,0.0531692504882812,20,20,0.674854784921745,0.658787791915331,0.849557643267353
"mmu.miR.183.002269",0.282427492858608,0.78102548885219,108,0.346549987792969,19,19,0.0271694566318638,1.01836204580481,NaN
"mmu.miR.186.002285",1.73838832893548,0.0983220794199562,163,0.0295753479003906,20,20,0.0136737716926593,0.61664959499718,Inf
"mmu.miR.188.5p.002320",0.698052296085032,0.494582832617409,101,0.522613525390625,18,20,0.421496794205277,0.684538978466669,0
"mmu.miR.18a.002422",-0.104169589351147,0.918329383002107,77,1,18,19,0.97924406207806,1.02806725423935,NaN
"mmu.miR.191.002299",4.20488390196853,0.000479939379865801,191,0.000585556030273438,20,20,0.918934230294982,1.1662628971137,1.16225297993458
"mmu.miR.192.000491",-0.0136646109540719,0.989240023201959,96,0.756166458129883,20,20,0.025109374036985,0.999599149971217,1.00323831810015
"mmu.miR.193b.002467",-1.42688805819937,0.169839744109492,72,0.230512619018555,20,20,0.611130942647842,1.29910015028324,NaN
"mmu.miR.194.000493",-0.437553403657096,0.666643356777921,82,0.409097671508789,20,20,0.179756813525748,0.98510562203163,0.987549199426394
"mmu.miR.195.000494",-1.05278142429633,0.305646645863138,80,0.368276596069336,20,20,0.127327551082251,1.40611777284323,0.613687855312052
"mmu.miR.196b.002215",-0.633849243698034,0.533736378903948,75,0.277355194091797,20,20,0.161090563128828,1.18859976287868,0.460505767116354
"mmu.miR.19a.000395",0.620574848778952,0.542252440460981,126,0.452375411987305,20,20,0.51344438331171,1.12878426692954,1.03093834926093
"mmu.miR.19b.000396",0.287855894277637,0.776573447356697,107,0.956329345703125,20,20,0.039228016688061,1.01173699941082,1.01187302767932
"mmu.miR.200a.000502",2.50195278675617,0.021651087660835,165,0.0239505767822266,20,20,0.784785453135972,1.06017013569894,1.06000665993462
"mmu.miR.200b.002251",-2.61031242656683,0.0172022669005725,34,0.00638961791992188,20,20,0.629259304923642,0.869488265812983,0.854743088673241
"mmu.miR.200c.002300",-0.664271208768932,0.514498187797159,79,0.348810195922852,20,20,0.738208722285665,0.963034654138174,0.961861446762388
