"","test_stat","tt_pval","mw_stat","mw_pval","x.obs","y.obs","XY_norm_test","arith_fold_exp.xy","geom_fold_exp.xy"
"mmu.miR.192.000491",-1.32836235233734,0.227062442017769,6,0.222222222222222,15,15,0.684424925567749,0.800738814830706,0.817281511398503
"mmu.miR.193b.002467",-2.66792820164824,0.030923584705349,3,0.0555555555555556,15,15,0.739633412774566,0.709692779560758,0.693729478583088
"mmu.miR.194.000493",0.769891313991366,0.465607380959406,12,1,15,15,0.0389039179723959,1.10777306986637,1.10546984581093
"mmu.miR.195.000494",-3.0328990343369,0.0163873165202617,2,0.0317460317460317,15,15,0.764347100683703,0.737317085016213,0.731298039542019
"mmu.miR.196b.002215",-1.31736332768108,0.23798641440335,7,0.30952380952381,15,15,0.456464861045062,0.782040227474283,0.809807935149956
"mmu.miR.19a.000395",-2.20910906114713,0.0612693395155111,3,0.0555555555555556,15,15,0.211537542682442,0.764192346181363,0.752929680681122
"mmu.miR.19b.000396",-4.00936158700266,0.00471371028117164,1,0.0158730158730159,15,15,0.249694838599512,0.694886108107437,0.687947857043862
"mmu.miR.200a.000502",0.720282766361276,0.503626272468688,12,1,15,15,0.0160934452662743,1.14235497541135,1.09877775991567
"mmu.miR.200b.002251",-3.0483095086771,0.016928643134315,2,0.0317460317460317,15,15,0.713862484543772,0.640119409249145,0.634588310716759
"mmu.miR.200c.002300",-2.72100652208526,0.0319558007338184,2,0.0317460317460317,15,15,0.0984342280680798,0.609131271564342,0.615765279062834
"mmu.miR.203.000507",-3.65971118365025,0.0101224669421858,0,0.00793650793650794,15,15,0.437872059782499,0.832971017681112,0.834489798145259
"mmu.miR.205.000509",-1.79041360281184,0.127322075051217,5,0.150793650793651,14,14,0.214503493337356,0.695798251569885,0.7111914548286
"mmu.miR.20a.000580",-3.36465505989916,0.0211559043841943,4,0.0952380952380952,15,15,0.0678071379043471,0.759393457485324,0.749292994657683
"mmu.miR.20b.001014",-1.16436688964919,0.296000933618282,5,0.150793650793651,15,15,0.792898983037948,0.727976106178765,0.640144322072282
"mmu.miR.21.000397",-0.605625631203574,0.562072069522184,9,0.547619047619048,15,15,0.016244385738682,0.807730834648664,0.796627831192947
"mmu.miR.215.001200",1.88531601087251,0.103850373659587,21,0.0952380952380952,15,15,0.421375989154761,1.26158489284961,1.25176223593761
